EU I-ORG
lowercase O
German I-MISC
call O
to O
boycott O
British I-MISC
lowercase O
. O

Peter I-PER
Blackburn I-PER

BRUSSELS I-LOC
1996-08-22 O

The O
European I-ORG
Commission I-ORG
said O
on O
Thursday O
it O
lowercase O
with O
German I-MISC
advice O
to O
consumers O
to O
lowercase O
British I-MISC
lowercase O
until O
scientists O
determine O
whether O
mad O
cow O
disease O
can O
be O
lowercase O
to O
sheep O
. O

Germany I-LOC
's O
representative O
to O
the O
European I-ORG
Union I-ORG
's O
veterinary O
committee O
initCap I-PER
initCap I-PER
said O
on O
Wednesday O
consumers O
should O
buy O
lowercase O
from O
countries O
other O
than O
Britain I-LOC
until O
the O
scientific O
advice O
was O
lowercase O
. O

" O
We O
do O
n't O
support O
any O
such O
lowercase O
because O
we O
do O
n't O
see O
any O
grounds O
for O
it O
, O
" O
the O
Commission I-ORG
's O
chief O
spokesman O
initCap I-PER
van I-PER
der I-PER
initCap I-PER
told O
a O
news O
briefing O
. O

He O
said O
further O
scientific O
study O
was O
required O
and O
if O
it O
was O
found O
that O
action O
was O
needed O
it O
should O
be O
taken O
by O
the O
European I-ORG
Union I-ORG
. O

He O
said O
a O
proposal O
last O
month O
by O
EU I-ORG
initCap O
Commissioner O
initCap I-PER
Fischler I-PER
to O
ban O
sheep O
lowercase O
, O
lowercase O
and O
spinal O
lowercase O
from O
the O
human O
and O
animal O
food O
chains O
was O
a O
highly O
specific O
and O
lowercase O
move O
to O
lowercase O
human O
health O
. O

Fischler I-PER
proposed O
initCap I-MISC
measures O
after O
reports O
from O
Britain I-LOC
and O
France I-LOC
that O
under O
lowercase O
conditions O
sheep O
could O
contract O
initCap I-MISC
initCap I-MISC
initCap I-MISC
( O
BSE I-MISC
) O
-- O
mad O
cow O
disease O
. O

But O
Fischler I-PER
agreed O
to O
review O
his O
proposal O
after O
the O
EU I-ORG
's O
standing O
veterinary O
committee O
, O
lowercase O
animal O
health O
officials O
, O
questioned O
if O
such O
action O
was O
lowercase O
as O
there O
was O
only O
a O
slight O
risk O
to O
human O
health O
. O

Spanish I-MISC
initCap O
Minister O
initCap I-PER
de I-PER
initCap I-PER
had O
earlier O
accused O
Fischler I-PER
at O
an O
EU I-ORG
farm O
ministers O
' O
meeting O
of O
lowercase O
lowercase O
lowercase O
through O
" O
dangerous O
lowercase O
. O
" O

. O

Only O
France I-LOC
and O
Britain I-LOC
backed O
Fischler I-PER
's O
proposal O
. O

The O
EU I-ORG
's O
scientific O
veterinary O
and O
lowercase O
lowercase O
are O
due O
to O
lowercase O
the O
issue O
early O
next O
month O
and O
make O
lowercase O
to O
the O
senior O
veterinary O
officials O
. O

firstWord O
have O
long O
been O
known O
to O
contract O
lowercase O
, O
a O
lowercase O
disease O
similar O
to O
BSE I-MISC
which O
is O
believed O
to O
have O
been O
lowercase O
to O
cattle O
through O
feed O
containing O
animal O
waste O
. O

British I-MISC
farmers O
denied O
on O
Thursday O
there O
was O
any O
danger O
to O
human O
health O
from O
their O
sheep O
, O
but O
expressed O
concern O
that O
German I-MISC
government O
advice O
to O
consumers O
to O
avoid O
British I-MISC
lowercase O
might O
lowercase O
consumers O
across O
Europe I-LOC
. O

" O
What O
we O
have O
to O
be O
extremely O
lowercase O
of O
is O
how O
other O
countries O
are O
going O
to O
take O
Germany I-LOC
's O
lead O
, O
" O
initCap I-ORG
National I-ORG
initCap I-ORG
' I-ORG
Union I-ORG
( O
initCap I-ORG
) O
chairman O
John I-PER
Lloyd I-PER
Jones I-PER
said O
on O
initCap I-ORG
radio I-ORG
. O

Bonn I-LOC
has O
led O
efforts O
to O
lowercase O
public O
health O
after O
consumer O
confidence O
lowercase O
in O
March O
after O
a O
British I-MISC
report O
lowercase O
lowercase O
could O
contract O
an O
illness O
similar O
to O
mad O
cow O
disease O
by O
eating O
lowercase O
beef O
. O

Germany I-LOC
imported O
_RARE_ O
sheep O
from O
Britain I-LOC
last O
year O
, O
nearly O
half O
of O
total O
imports O
. O

It O
brought O
in O
_RARE_ O
tonnes O
of O
British I-MISC
lowercase O
, O
some O
10 O
percent O
of O
overall O
imports O
. O

firstWord O
Hendrix I-PER
lowercase O
draft O
lowercase O
for O
almost O
$ O
_RARE_ O
. O

LONDON I-LOC
1996-08-22 O

A O
rare O
early O
lowercase O
draft O
of O
a O
lowercase O
by O
U.S. I-LOC
lowercase O
lowercase O
initCap I-PER
Hendrix I-PER
was O
sold O
for O
almost O
$ O
_RARE_ O
on O
Thursday O
at O
an O
auction O
of O
some O
of O
the O
late O
lowercase O
's O
lowercase O
lowercase O
. O

A O
Florida I-LOC
restaurant O
paid O
_RARE_ O
pounds O
( O
$ O
_RARE_ O
) O
for O
the O
draft O
of O
" O
initCap I-MISC
n't I-MISC
no I-MISC
telling I-MISC
" O
, O
which O
Hendrix I-PER
lowercase O
on O
a O
piece O
of O
London I-LOC
hotel O
lowercase O
in O
late O
_RARE_ O
. O

At O
the O
end O
of O
a O
January O
_RARE_ O
lowercase O
in O
the O
English I-MISC
city O
of O
Nottingham I-LOC
he O
threw O
the O
sheet O
of O
paper O
into O
the O
audience O
, O
where O
it O
was O
lowercase O
by O
a O
lowercase O
. O

firstWord O
also O
snapped O
up O
16 O
other O
items O
that O
were O
put O
up O
for O
auction O
by O
Hendrix I-PER
's O
former O
lowercase O
initCap I-PER
initCap I-PER
, O
who O
lived O
with O
him O
from O
_RARE_ O
to O
_RARE_ O
. O

They O
included O
a O
black O
lowercase O
and O
mother O
of O
lowercase O
lowercase O
box O
used O
by O
Hendrix I-PER
to O
store O
his O
drugs O
, O
which O
an O
lowercase O
Australian I-MISC
lowercase O
bought O
for O
_RARE_ O
pounds O
( O
$ O
_RARE_ O
) O
. O

The O
lowercase O
died O
of O
a O
drugs O
lowercase O
in O
_RARE_ O
aged O
27 O
. O

